31 mai 2022 13:29:37,940 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
31 mai 2022 13:29:40,217 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using built-in connection pool (not intended for production use) 
31 mai 2022 13:29:40,224 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver 
31 mai 2022 13:29:40,224 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
31 mai 2022 13:29:40,236 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001001: Connection properties: {password=****, user=root} 
31 mai 2022 13:29:40,237 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001003: Autocommit mode: false 
31 mai 2022 13:29:40,241 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001115: Connection pool size: 20 (min=1) 
31 mai 2022 13:29:40,438 [main] INFO  {SQL dialect} - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
31 mai 2022 13:29:40,439 [main] WARN  {org.hibernate.orm.deprecation} - HHH90000026: MySQL5Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
31 mai 2022 13:29:41,301 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Enseignant (class must be instantiated by Interceptor) 
31 mai 2022 13:29:41,385 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Etudiant (class must be instantiated by Interceptor) 
31 mai 2022 13:29:41,606 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@45bbc52f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
31 mai 2022 13:29:41,670 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@31881aa2] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
31 mai 2022 13:29:41,848 [main] INFO  {org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator} - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
31 mai 2022 13:29:41,944 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
31 mai 2022 13:29:42,128 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
31 mai 2022 13:29:42,140 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:25:20,308 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
03 juin 2022 07:25:21,754 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using built-in connection pool (not intended for production use) 
03 juin 2022 07:25:21,760 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver 
03 juin 2022 07:25:21,761 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:25:21,761 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001001: Connection properties: {password=****, user=root} 
03 juin 2022 07:25:21,761 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001003: Autocommit mode: false 
03 juin 2022 07:25:21,764 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001115: Connection pool size: 20 (min=1) 
03 juin 2022 07:25:21,963 [main] INFO  {SQL dialect} - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
03 juin 2022 07:25:21,965 [main] WARN  {org.hibernate.orm.deprecation} - HHH90000026: MySQL5Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
03 juin 2022 07:25:23,257 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Enseignant (class must be instantiated by Interceptor) 
03 juin 2022 07:25:23,345 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Etudiant (class must be instantiated by Interceptor) 
03 juin 2022 07:25:23,589 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@45bbc52f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:25:23,625 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@31881aa2] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:25:23,748 [main] INFO  {org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator} - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
03 juin 2022 07:25:23,827 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:25:23,929 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:25:24,013 [main] WARN  {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - SQL Error: 1064, SQLState: 42000 
03 juin 2022 07:25:24,013 [main] ERROR {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.ems.entities.EnseignantWhere Id = 2' at line 1 
03 juin 2022 07:25:24,022 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:26:12,863 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
03 juin 2022 07:26:14,010 [main] WARN  {org.hibernate.orm.connections.pooling} - HHH10001002: Using built-in connection pool (not intended for production use) 
03 juin 2022 07:26:14,016 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001005: Loaded JDBC driver class: com.mysql.cj.jdbc.Driver 
03 juin 2022 07:26:14,016 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001012: Connecting with JDBC URL [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:26:14,017 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001001: Connection properties: {password=****, user=root} 
03 juin 2022 07:26:14,017 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001003: Autocommit mode: false 
03 juin 2022 07:26:14,019 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001115: Connection pool size: 20 (min=1) 
03 juin 2022 07:26:14,213 [main] INFO  {SQL dialect} - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
03 juin 2022 07:26:14,215 [main] WARN  {org.hibernate.orm.deprecation} - HHH90000026: MySQL5Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead 
03 juin 2022 07:26:15,085 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Enseignant (class must be instantiated by Interceptor) 
03 juin 2022 07:26:15,162 [main] INFO  {org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard} - HHH000182: No default (no-argument) constructor for class: com.app.ems.entities.Etudiant (class must be instantiated by Interceptor) 
03 juin 2022 07:26:15,366 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@45bbc52f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:26:15,404 [main] INFO  {org.hibernate.orm.connections.access} - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@31881aa2] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode. 
03 juin 2022 07:26:15,520 [main] INFO  {org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator} - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
03 juin 2022 07:26:15,594 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:26:15,688 [main] INFO  {com.app.ems.dao.impl.HibernateDao} - Begin transaction. 
03 juin 2022 07:26:15,752 [main] WARN  {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - SQL Error: 1064, SQLState: 42000 
03 juin 2022 07:26:15,752 [main] ERROR {org.hibernate.engine.jdbc.spi.SqlExceptionHelper} - You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '.ems.entities.Enseignant Where Id = 2' at line 1 
03 juin 2022 07:26:15,760 [main] INFO  {org.hibernate.orm.connections.pooling} - HHH10001008: Cleaning up connection pool [jdbc:mysql://localhost:3308/emshbm?serverTimezone=UTC] 
03 juin 2022 07:28:10,323 [main] INFO  {org.hibernate.Version} - HHH000412: Hibernate ORM core version 6.0.2.Final 
